VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'5'},{'5'},{'4'},&,6.0,&
{'5'},{'4'},{'4'},&,6.0,&
{'1'},{'8'},{'0'},&,35.0,&
{'4'},{'8'},{'0'},&,22.0,&
{'7'},{'4'},{'3'},&,37.0,&
{'3'},{'6'},{'5'},&,23.0,&
{'7'},{'2'},{'4'},&,31.0,&
{'6'},{'8'},{'1'},&,24.0,&
{'6'},{'0'},{'5'},&,30.0,&
{'7'},{'2'},{'1'},&,14.0,&
{'2'},{'8'},{'8'},&,1.0,&
{'8'},{'4'},{'2'},&,10.0,&
{'9'},{'0'},{'5'},&,2.0,&
{'2'},{'5'},{'6'},&,12.0,&
{'3'},{'8'},{'1'},&,24.0,&
{'2'},{'6'},{'5'},&,9.0,&
{'8'},{'0'},{'4'},&,25.0,&
{'8'},{'1'},{'5'},&,12.0,&
{'2'},{'7'},{'0'},&,29.0,&
{'5'},{'6'},{'7'},&,9.0,&
{'7'},{'2'},{'3'},&,42.0,&
{'3'},{'4'},{'3'},&,6.0,&
{'1'},{'8'},{'6'},&,18.0,&
{'6'},{'0'},{'0'},&,2.0,&
{'2'},{'1'},{'6'},&,24.0,&
{'8'},{'1'},{'6'},&,6.0,&
{'3'},{'8'},{'6'},&,38.0,&
{'5'},{'9'},{'9'},&,13.0,&
{'0'},{'3'},{'0'},&,13.0,&
{'0'},{'2'},{'7'},&,72.0,&
{'1'},{'8'},{'7'},&,16.0,&
{'7'},{'6'},{'1'},&,6.0,&
{'4'},{'3'},{'3'},&,2.0,&
{'7'},{'4'},{'6'},&,14.0,&
